Interaction_Description,Simplified_Description
Empagliflozin may increase the hypoglycemic activities of Trolamine salicylate.,Empagliflozin may increase the blood sugar-lowering effect of Trolamine salicylate.
Repaglinide may increase the hypoglycemic activities of Trolamine salicylate.,Repaglinide may increase the blood sugar-lowering effect of Trolamine salicylate.
Glyburide may increase the hypoglycemic activities of Trolamine salicylate.,Glyburide may increase the blood sugar-lowering effect of Trolamine salicylate.
Bromocriptine may increase the hypoglycemic activities of Trolamine salicylate.,Bromocriptine may increase the blood sugar-lowering effect of Trolamine salicylate.
Quinapril may decrease the antihypertensive activities of Trolamine salicylate.,Quinapril may reduce the blood pressure-lowering effect of Trolamine salicylate.
The risk or severity of adverse effects can be increased when Cilostazol is combined with Trolamine salicylate.,The risk of side effects can be increased when Cilostazol is taken with Trolamine salicylate.
The risk or severity of adverse effects can be increased when Iloprost is combined with Trolamine salicylate.,The risk of side effects can be increased when Iloprost is taken with Trolamine salicylate.
The risk or severity of adverse effects can be increased when Alprostadil is combined with Methyl salicylate.,The risk of side effects can be increased when Alprostadil is taken with Methyl salicylate.
Edoxaban may increase the anticoagulant activities of Sugammadex.,Edoxaban may increase the blood-thinning effect of Sugammadex.
The therapeutic efficacy of Sugammadex can be decreased when used in combination with Toremifene.,The effectiveness of Sugammadex can be reduced when used with Toremifene.
Warfarin may increase the anticoagulant activities of Sugammadex.,Warfarin may increase the blood-thinning effect of Sugammadex.
Phenprocoumon may increase the anticoagulant activities of Sugammadex.,Phenprocoumon may increase the blood-thinning effect of Sugammadex.
Phenindione may increase the anticoagulant activities of Sugammadex.,Phenindione may increase the blood-thinning effect of Sugammadex.
Acenocoumarol may increase the anticoagulant activities of Sugammadex.,Acenocoumarol may increase the blood-thinning effect of Sugammadex.
Dicoumarol may increase the anticoagulant activities of Sugammadex.,Dicoumarol may increase the blood-thinning effect of Sugammadex.
Apixaban may increase the anticoagulant activities of Sugammadex.,Apixaban may increase the blood-thinning effect of Sugammadex.
Rivaroxaban may increase the anticoagulant activities of Sugammadex.,Rivaroxaban may increase the blood-thinning effect of Sugammadex.
Argatroban may increase the anticoagulant activities of Sugammadex.,Argatroban may increase the blood-thinning effect of Sugammadex.
Bivalirudin may increase the anticoagulant activities of Sugammadex.,Bivalirudin may increase the blood-thinning effect of Sugammadex.
Dabigatran etexilate may increase the anticoagulant activities of Sugammadex.,Dabigatran etexilate may increase the blood-thinning effect of Sugammadex.
Edetic acid may increase the anticoagulant activities of Sugammadex.,Edetic acid may increase the blood-thinning effect of Sugammadex.
Fondaparinux may increase the anticoagulant activities of Sugammadex.,Fondaparinux may increase the blood-thinning effect of Sugammadex.
Pentaerythritol tetranitrate may increase the anticoagulant activities of Sugammadex.,Pentaerythritol tetranitrate may increase the blood-thinning effect of Sugammadex.
Citric acid may increase the anticoagulant activities of Sugammadex.,Citric acid may increase the blood-thinning effect of Sugammadex.
Pentosan polysulfate may increase the anticoagulant activities of Sugammadex.,Pentosan polysulfate may increase the blood-thinning effect of Sugammadex.
Protocatechualdehyde may increase the anticoagulant activities of Sugammadex.,Protocatechualdehyde may increase the blood-thinning effect of Sugammadex.
Edoxaban may increase the anticoagulant activities of Trolamine salicylate.,Edoxaban may increase the blood-thinning effect of Trolamine salicylate.
The risk or severity of adverse effects can be increased when Anagrelide is combined with Trolamine salicylate.,The risk of side effects can be increased when Anagrelide is taken with Trolamine salicylate.
Acarbose may increase the hypoglycemic activities of Trolamine salicylate.,Acarbose may increase the blood sugar-lowering effect of Trolamine salicylate.
Sunitinib may increase the hypoglycemic activities of Trolamine salicylate.,Sunitinib may increase the blood sugar-lowering effect of Trolamine salicylate.
The serum concentration of Trolamine salicylate can be increased when it is combined with Pralatrexate.,The serum level of Trolamine salicylate can be increased when combined with Pralatrexate.
The serum concentration of Trolamine salicylate can be increased when it is combined with Methotrexate.,The serum level of Trolamine salicylate can be increased when combined with Methotrexate
Phenindione may increase the anticoagulant activities of Methyl salicylate.,Phenindione may increase the blood-thinning effect of Methyl salicylate.
Acenocoumarol may increase the anticoagulant activities of Methyl salicylate.,Acenocoumarol may increase the blood-thinning effect of Methyl salicylate.
Dicoumarol may increase the anticoagulant activities of Methyl salicylate.,Dicoumarol may increase the blood-thinning effect of Methyl salicylate.
The risk or severity of adverse effects can be increased when Nimesulide is combined with Methyl salicylate.,The risk of side effects can be increased when Nimesulide is taken with Methyl salicylate.
The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Methyl salicylate.,The risk of side effects can be increased when Acetylsalicylic acid is taken with Methyl salicylate.
The risk or severity of adverse effects can be increased when Azelastine is combined with Methyl salicylate.,The risk of side effects can be increased when Azelastine is taken with Methyl salicylate.
The risk or severity of adverse effects can be increased when Tranilast is combined with Methyl salicylate.,The risk of side effects can be increased when Tranilast is taken with Methyl salicylate.
Sulfisoxazole may increase the hypoglycemic activities of Methyl salicylate.,Sulfisoxazole may increase the blood sugar-lowering effect of Methyl salicylate.
Chlorpropamide may increase the hypoglycemic activities of Methyl salicylate.,Chlorpropamide may increase the blood sugar-lowering effect of Methyl salicylate.
Canagliflozin may increase the hypoglycemic activities of Methyl salicylate.,Canagliflozin may increase the blood sugar-lowering effect of Methyl salicylate.
Pentamidine may increase the hypoglycemic activities of Methyl salicylate.,Pentamidine may increase the blood sugar-lowering effect of Methyl salicylate.
Glipizide may increase the hypoglycemic activities of Methyl salicylate.,Glipizide may increase the blood sugar-lowering effect of Methyl salicylate.
Disopyramide may increase the hypoglycemic activities of Methyl salicylate.,Disopyramide may increase the blood sugar-lowering effect of Methyl salicylate.
Tolbutamide may increase the hypoglycemic activities of Methyl salicylate.,Tolbutamide may increase the blood sugar-lowering effect of Methyl salicylate.
Miglitol may increase the hypoglycemic activities of Methyl salicylate.,Miglitol may increase the blood sugar-lowering effect of Methyl salicylate.
Sulfamethoxazole may increase the hypoglycemic activities of Methyl salicylate.,Sulfamethoxazole may increase the blood sugar-lowering effect of Methyl salicylate.
Sitagliptin may increase the hypoglycemic activities of Methyl salicylate.,Sitagliptin may increase the blood sugar-lowering effect of Methyl salicylate.
Dapagliflozin may increase the hypoglycemic activities of Methyl salicylate.,Dapagliflozin may increase the blood sugar-lowering effect of Methyl salicylate.
Alogliptin may increase the hypoglycemic activities of Methyl salicylate.,Alogliptin may increase the blood sugar-lowering effect of Methyl salicylate.
